,Ages,Area,Baths,Condition,Floor,Garages,Location3,Stratum,Rooms,FormatedPrice
5062,9 a 15 años,72,2,,,1, Occidente,3,4,250000000.0
5069,Menos de 1 año,142,3,Excelente,2º,1, Sur,2,4,250000000.0
5072,9 a 15 años,223,3,Excelente,,2, Sur,2,3,250000000.0
5076,9 a 15 años,180,3,Excelente,3º,1, Noroccidente,2,6,250000000.0
5077,9 a 15 años,99,2,Bueno,3º,1, Occidente,3,3,250000000.0
5082,1 a 8 años,195,3,Bueno,3º,, Sur,3,7,250000000.0
5093,16 a 30 años,130,2,Bueno,,1, Occidente,3,4,250000000.0
5096,16 a 30 años,150,4,,,1, Occidente,3,8,250000000.0
5097,16 a 30 años,155,3,Excelente,2º,1, Occidente,3,4,250000000.0
5098,9 a 15 años,100,3,Excelente,,, Sur,3,4,250000000.0
5105,16 a 30 años,92,3,Excelente,3º,1, Occidente,3,3,250000000.0
5139,16 a 30 años,166,2,Bueno,2º,, Sur,3,5,255000000.0
5146,9 a 15 años,183,5,Bueno,4º,, Noroccidente,2,8,255000000.0
5153,16 a 30 años,122,2,Excelente,2º,1, Sur,3,3,255000000.0
5154,Más de 30 años,140,1,Remodelar,2º,, Sur,3,3,255000000.0
5162,9 a 15 años,72,2,Bueno,,1, Noroccidente,3,3,255000000.0
5167,9 a 15 años,75,3,Excelente,3º,1, Noroccidente,3,3,255000000.0
5171,16 a 30 años,166,2,Bueno,2º,, Sur,3,5,255000000.0
5194,9 a 15 años,64,1,Excelente,3º,1, Noroccidente,4,3,259000000.0
5201,16 a 30 años,110,2,Excelente,2º,, Sur,3,6,259000000.0
5207,Más de 30 años,150,3,Bueno,,, Sur,3,4,259900000.0
5208,1 a 8 años,144,2,Bueno,,, Sur,2,6,259900000.0
5209,9 a 15 años,181,3,Excelente,,1, Sur,2,6,259900000.0
5210,Más de 30 años,231,4,Bueno,4º,1, Sur,3,10,259900000.0
5211,9 a 15 años,181,3,Excelente,,1, Sur,2,6,259900000.0
5212,16 a 30 años,216,2,Excelente,,, Sur,2,6,259950000.0
5213,1 a 8 años,105,3,Excelente,3º,2, Occidente,3,4,260000000.0
5216,9 a 15 años,350,7,Bueno,4º,, Sur,2,12,260000000.0
5225,9 a 15 años,90,2,Excelente,1º,1, Norte,4,2,260000000.0
5226,16 a 30 años,85,2,Excelente,,1, Noroccidente,3,3,260000000.0
5228,9 a 15 años,120,3,Excelente,3º,, Sur,3,6,260000000.0
5229,9 a 15 años,120,3,Excelente,3º,, Sur,3,6,260000000.0
5230,9 a 15 años,70,2,Bueno,3º,1, Noroccidente,3,4,260000000.0
5232,Más de 30 años,144,2,,,1, Occidente,3,7,260000000.0
5233,1 a 8 años,144,3,Excelente,2º,1, Sur,2,5,260000000.0
5241,9 a 15 años,95,3,Excelente,1º,1, Noroccidente,3,3,260000000.0
5242,9 a 15 años,95,3,Excelente,1º,1, Noroccidente,3,3,260000000.0
5245,16 a 30 años,110,2,Excelente,,, Occidente,3,4,260000000.0
5249,1 a 8 años,87,2,Excelente,3º,1, Noroccidente,3,3,260000000.0
5252,9 a 15 años,120,3,Excelente,3º,, Sur,3,6,260000000.0
5254,16 a 30 años,144,2,,,1, Noroccidente,3,4,260000000.0
5255,9 a 15 años,120,3,Excelente,3º,, Sur,3,6,260000000.0
5257,9 a 15 años,120,3,Excelente,3º,, Sur,3,6,260000000.0
5259,Más de 30 años,216,3,,,, Occidente,3,8,260000000.0
5262,16 a 30 años,160,3,,,1, Noroccidente,2,4,260000000.0
5281,Más de 30 años,97,2,Excelente,Otros,1, Occidente,3,4,260000000.0
5282,9 a 15 años,65,3,Excelente,3º,1, Occidente,3,3,260000000.0
5290,16 a 30 años,132,2,Excelente,2º,Más de 10, Sur,2,4,260000000.0
5292,9 a 15 años,217,3,,,, Sur,2,5,260000000.0
5305,Más de 30 años,87,2,Bueno,,, Sur,3,5,260000000.0
5310,16 a 30 años,192,4,Excelente,3º,, Sur,2,5,260000000.0
5313,9 a 15 años,144,3,,,1, Sur,2,8,260000000.0
5316,16 a 30 años,110,2,Excelente,,, Centro,3,3,260000000.0
5319,16 a 30 años,110,2,Excelente,,, Centro,3,3,260000000.0
5321,1 a 8 años,69,3,Excelente,3º,1, Noroccidente,4,4,260000000.0
5323,Menos de 1 año,55,3,,,1, Sur,2,8,260000000.0
5324,9 a 15 años,65,3,Bueno,3º,, Sur,3,6,260000000.0
5325,9 a 15 años,220,3,Excelente,3º,1, Sur,2,7,260000000.0
5334,16 a 30 años,96,2,Excelente,3º,, Occidente,3,4,260000000.0
5340,16 a 30 años,220,2,Excelente,1º,, Sur,3,4,260000000.0
5342,9 a 15 años,180,5,Bueno,,, Norte,2,8,260000000.0
5345,9 a 15 años,65,3,Excelente,3º,1, Occidente,3,3,260000000.0
5347,16 a 30 años,110,2,Excelente,,, Centro,3,3,260000000.0
5348,16 a 30 años,85,2,Excelente,,1, Noroccidente,3,3,260000000.0
5350,9 a 15 años,108,3,Bueno,3º,1, Sur,3,4,260000000.0
5353,9 a 15 años,152,3,Excelente,4º,1, Occidente,2,5,260000000.0
5358,16 a 30 años,63,2,Excelente,3º,, Sur,2,4,260000000.0
5360,9 a 15 años,65,3,Excelente,3º,1, Occidente,3,3,260000000.0
5361,1 a 8 años,187,4,,,1, Occidente,2,6,260000000.0
5362,9 a 15 años,67,2,Bueno,,1, Norte,3,3,260000000.0
5377,16 a 30 años,112,2,,,1, Occidente,3,5,260000000.0
5378,16 a 30 años,160,4,,4º,, Sur,3,6,260000000.0
5391,9 a 15 años,69,2,Bueno,,, Noroccidente,3,4,260000000.0
5392,9 a 15 años,67,2,Bueno,,1, Noroccidente,3,3,260000000.0
5396,1 a 8 años,87,2,Excelente,3º,1, Noroccidente,3,3,260000000.0
5401,9 a 15 años,220,3,Excelente,3º,1, Sur,2,7,260000000.0
5402,16 a 30 años,110,2,Excelente,,, Centro,3,3,260000000.0
5407,1 a 8 años,76,2,Excelente,1º,1, Occidente,3,3,264000000.0
5419,16 a 30 años,72,4,Bueno,3º,, Occidente,2,6,265000000.0
5427,9 a 15 años,152,2,Bueno,,, Sur,3,6,265000000.0
5435,9 a 15 años,111,2,Excelente,4º,1, Occidente,2,3,265000000.0
5437,16 a 30 años,140,2,Bueno,,1, Noroccidente,2,5,265000000.0
5440,1 a 8 años,110,2,Bueno,2º,, Occidente,3,4,265000000.0
5444,9 a 15 años,200,3,Bueno,2º,1, Sur,3,6,265000000.0
5449,9 a 15 años,70,2,Bueno,2º,1, Noroccidente,2,2,265000000.0
5460,16 a 30 años,120,4,Bueno,2º,1, Noroccidente,2,4,265000000.0
5465,9 a 15 años,80,1,Excelente,2º,1, Occidente,3,3,265000000.0
5472,1 a 8 años,110,2,Bueno,2º,, Occidente,3,4,265000000.0
5476,16 a 30 años,126,3,,,, Occidente,3,4,265000000.0
5484,16 a 30 años,83,1,Bueno,2º,1, Occidente,3,3,265000000.0
5487,16 a 30 años,120,2,Bueno,,, Occidente,3,4,265000000.0
5499,16 a 30 años,109,3,Bueno,3º,, Noroccidente,3,3,268000000.0
5500,Más de 30 años,184,2,Bueno,,, Chapinero,3,4,268000000.0
5530,16 a 30 años,122,1,Bueno,1º,, Occidente,3,5,270000000.0
5537,16 a 30 años,96,2,,,, Occidente,3,4,270000000.0
5540,16 a 30 años,96,2,,,, Occidente,3,4,270000000.0
5551,16 a 30 años,72,4,Bueno,3º,1, Sur,2,8,270000000.0
5563,Más de 30 años,128,2,Remodelar,2º,1, Centro,3,4,270000000.0
5565,Más de 30 años,91,1,,,1, Occidente,3,3,270000000.0
5568,16 a 30 años,115,2,Bueno,2º,1, Sur,3,3,270000000.0
5570,Menos de 1 año,112,3,Excelente,4º,1, Occidente,3,4,270000000.0
5571,Más de 30 años,177,2,Excelente,2º,, Sur,3,8,270000000.0
5581,9 a 15 años,77,2,Bueno,,1, Occidente,3,4,270000000.0
5583,16 a 30 años,96,2,,,, Occidente,3,4,270000000.0
5587,Menos de 1 año,100,3,Excelente,4º,1, Occidente,3,4,270000000.0
5596,Más de 30 años,200,3,Bueno,,1, Sur,3,6,270000000.0
5611,16 a 30 años,170,4,,,, Noroccidente,3,5,270000000.0
5619,Más de 30 años,250,2,,,1, Sur,2,7,270000000.0
5626,9 a 15 años,77,2,,,1, Occidente,3,3,270000000.0
5631,9 a 15 años,144,3,Excelente,1º,1, Occidente,3,3,270000000.0
5635,9 a 15 años,144,3,,,2, Sur,2,6,270000000.0
5646,Más de 30 años,115,2,Excelente,2º,, Sur,3,5,270000000.0
5648,9 a 15 años,54,4,Excelente,4º,, Sur,2,10,270000000.0
5653,1 a 8 años,88,3,Bueno,3º,1, Noroccidente,4,4,270000000.0
5657,1 a 8 años,110,3,,,, Noroccidente,3,5,270000000.0
5660,16 a 30 años,300,4,,2º,1, Sur,2,8,270000000.0
5664,9 a 15 años,174,3,Excelente,,, Sur,2,6,270000000.0
5666,Más de 30 años,262,4,Bueno,Otros,, Sur,3,7,270000000.0
5667,9 a 15 años,68,2,Bueno,,1, Sur,3,3,270000000.0
5676,9 a 15 años,77,2,,,1, Occidente,3,3,270000000.0
5677,16 a 30 años,90,1,Bueno,1º,, Centro,2,4,270000000.0
5678,16 a 30 años,120,2,Bueno,2º,1, Sur,2,3,270000000.0
5679,1 a 8 años,180,2,Excelente,2º,1, Sur,2,4,270900000.0
5684,Más de 30 años,165,1,Excelente,2º,1, Occidente,3,3,272000000.0
5687,Más de 30 años,130,2,Bueno,,1, Occidente,3,3,274800000.0
5688,9 a 15 años,77,3,Excelente,3º,1, Noroccidente,4,3,274900000.0
5689,16 a 30 años,106,1,,2º,1, Sur,3,2,274999999.0
5695,Más de 30 años,68,2,Remodelar,1º,, Occidente,3,2,275000000.0
5699,1 a 8 años,95,1,Excelente,1º,2, Norte,3,4,275000000.0
5701,16 a 30 años,140,3,Excelente,,1, Noroccidente,2,5,275000000.0
5720,16 a 30 años,79,2,Excelente,3º,1, Noroccidente,3,3,275000000.0
5721,Más de 30 años,147,1,Bueno,2º,, Noroccidente,3,3,275000000.0
5722,16 a 30 años,105,3,Bueno,3º,1, Norte,3,4,275000000.0
5728,1 a 8 años,95,1,Excelente,1º,2, Norte,3,4,275000000.0
5731,1 a 8 años,150,3,Excelente,3º,1, Sur,3,4,275000000.0
5734,9 a 15 años,75,3,Excelente,3º,1, Noroccidente,4,4,275000000.0
5751,1 a 8 años,87,3,Excelente,3º,1, Occidente,3,3,275000000.0
5763,16 a 30 años,249,3,,,, Noroccidente,2,4,277000000.0
5770,Menos de 1 año,90,2,Excelente,3º,1, Occidente,3,3,278000000.0
5771,Menos de 1 año,90,2,Excelente,3º,1, Occidente,3,3,278000000.0
5773,1 a 8 años,110,2,Excelente,4º,1, Occidente,3,3,278000000.0
5777,Menos de 1 año,90,2,Excelente,3º,1, Occidente,3,3,278000000.0
5781,1 a 8 años,110,2,Excelente,4º,1, Occidente,3,3,278000000.0
5783,16 a 30 años,272,4,Excelente,,1, Sur,2,8,278950000.0
5789,9 a 15 años,168,2,Excelente,2º,2, Sur,3,3,279000000.0
5791,9 a 15 años,110,3,Excelente,4º,, Noroccidente,3,4,279000000.0
5795,Menos de 1 año,106,2,Excelente,3º,1, Noroccidente,2,3,279000000.0
5800,16 a 30 años,612,3,Bueno,3º,2, Sur,3,10,279000000.0
5805,9 a 15 años,116,3,Excelente,3º,, Noroccidente,4,4,279500000.0
5806,1 a 8 años,140,2,Bueno,2º,, Sur,2,6,279900000.0
5807,1 a 8 años,264,2,Bueno,,, Occidente,2,9,279900000.0
5808,16 a 30 años,180,3,Excelente,,, Sur,2,4,279900000.0
5809,9 a 15 años,120,3,Bueno,2º,1, Sur,3,7,280000000.0
5810,9 a 15 años,180,4,Excelente,4º,, Sur,2,6,280000000.0
5811,1 a 8 años,77,4,Bueno,,1, Occidente,3,4,280000000.0
5818,9 a 15 años,105,2,Excelente,3º,1, Noroccidente,3,3,280000000.0
5821,16 a 30 años,69,1,Bueno,1º,1, Occidente,3,4,280000000.0
5822,9 a 15 años,144,3,Bueno,2º,1, Noroccidente,2,4,280000000.0
5826,Más de 30 años,208,3,Remodelar,2º,, Sur,3,5,280000000.0
5829,9 a 15 años,105,2,Excelente,3º,1, Noroccidente,3,3,280000000.0
5830,1 a 8 años,48,5,,4º,1, Centro,3,8,280000000.0
5845,Más de 30 años,382,3,Bueno,3º,, Centro,2,11,280000000.0
5848,16 a 30 años,144,4,Excelente,4º,, Noroccidente,3,5,280000000.0
5850,16 a 30 años,72,3,Bueno,2º,1, Noroccidente,2,6,280000000.0
5854,Más de 30 años,356,3,Bueno,3º,1, Sur,3,7,280000000.0
5856,9 a 15 años,120,2,Excelente,4º,1, Noroccidente,3,4,280000000.0
5859,16 a 30 años,80,2,Excelente,,1, Noroccidente,3,4,280000000.0
5860,Más de 30 años,116,2,,6º,, Occidente,3,5,280000000.0
5865,9 a 15 años,132,1,Remodelar,1º,, Sur,3,5,280000000.0
5866,16 a 30 años,75,2,Excelente,1º,1, Noroccidente,3,3,280000000.0
5873,1 a 8 años,48,5,,4º,1, Centro,3,8,280000000.0
5874,9 a 15 años,76,3,Excelente,Otros,1, Occidente,3,4,280000000.0
5876,16 a 30 años,100,4,,,1, Noroccidente,2,7,280000000.0
5877,Más de 30 años,130,3,Excelente,Otros,1, Occidente,3,4,280000000.0
5888,9 a 15 años,80,2,Bueno,3º,1, Noroccidente,3,3,280000000.0
5895,16 a 30 años,60,3,Excelente,4º,1, Noroccidente,2,5,280000000.0
5899,9 a 15 años,210,3,Excelente,3º,1, Noroccidente,2,6,280000000.0
5902,16 a 30 años,74,3,Excelente,1º,1, Noroccidente,3,3,280000000.0
5906,16 a 30 años,231,7,Excelente,3º,1, Sur,2,16,280000000.0
5908,1 a 8 años,81,2,Excelente,4º,1, Noroccidente,3,3,280000000.0
5912,16 a 30 años,216,5,Excelente,4º,1, Sur,2,10,280000000.0
5913,16 a 30 años,180,3,Bueno,,2, Noroccidente,2,5,280000000.0
5919,16 a 30 años,110,2,Excelente,2º,, Occidente,3,3,280000000.0
5920,9 a 15 años,80,3,,,1, Norte,3,3,280000000.0
5924,1 a 8 años,81,2,Excelente,,1, Noroccidente,3,4,280000000.0
5926,9 a 15 años,120,4,Remodelar,2º,, Noroccidente,2,6,280000000.0
5928,Más de 30 años,90,3,Excelente,1º,1, Noroccidente,3,3,280000000.0
5929,16 a 30 años,97,2,,,1, Occidente,3,4,280000000.0
5931,Más de 30 años,305,4,Remodelar,,, Sur,3,9,280000000.0
5932,9 a 15 años,71,2,Excelente,3º,1, Occidente,4,3,280000000.0
5936,9 a 15 años,75,2,Excelente,,1, Occidente,3,3,280000000.0
5939,Más de 30 años,160,3,Bueno,1º,, Sur,2,7,280000000.0
5943,16 a 30 años,60,3,,3º,, Sur,2,6,280000000.0
5945,16 a 30 años,123,5,,2º,2, Noroccidente,2,8,280000000.0
5948,Más de 30 años,84,3,Remodelar,,1, Noroccidente,3,3,280000000.0
5951,9 a 15 años,120,3,Excelente,3º,1, Noroccidente,4,4,280000000.0
5953,Más de 30 años,201,5,Bueno,,, Noroccidente,3,7,280000000.0
5954,16 a 30 años,210,5,Remodelar,1º,2, Sur,3,5,280000000.0
5960,16 a 30 años,216,3,Bueno,3º,, Occidente,2,7,280000000.0
5964,9 a 15 años,75,2,Excelente,,1, Occidente,3,3,280000000.0
5965,9 a 15 años,83,2,Excelente,3º,1, Norte,3,3,280000000.0
5969,Menos de 1 año,84,2,,,1, Occidente,3,3,280000000.0
5971,Más de 30 años,120,1,Remodelar,1º,, Sur,3,4,280000000.0
5973,9 a 15 años,79,3,Excelente,3º,1, Noroccidente,3,4,280000000.0
5979,Más de 30 años,138,3,Remodelar,3º,1, Noroccidente,3,5,280000000.0
6005,1 a 8 años,95,3,,,1, Noroccidente,3,3,280000000.0
6009,9 a 15 años,78,2,Excelente,1º,1, Noroccidente,4,3,280000000.0
6013,16 a 30 años,110,2,Bueno,,1, Occidente,3,3,280000000.0
6020,16 a 30 años,100,3,Excelente,,1, Noroccidente,3,3,280000000.0
6021,1 a 8 años,152,3,,,1, Sur,2,4,280000000.0
6025,1 a 8 años,109,3,Excelente,4º,1, Noroccidente,3,3,283000000.0
6028,9 a 15 años,220,4,Bueno,4º,, Sur,2,10,284900000.0
6038,Más de 30 años,168,3,,,, Sur,2,3,285000000.0
6042,9 a 15 años,71,2,Excelente,3º,1, Occidente,4,3,285000000.0
6044,9 a 15 años,70,4,Excelente,3º,1, Noroccidente,3,4,285000000.0
6053,16 a 30 años,295,5,Excelente,3º,, Sur,2,8,285000000.0
6054,16 a 30 años,75,4,Excelente,,1, Occidente,3,4,285000000.0
6060,9 a 15 años,86,2,Excelente,3º,1, Noroccidente,3,2,285000000.0
6062,16 a 30 años,135,3,Bueno,3º,, Noroccidente,3,4,285000000.0
6072,16 a 30 años,82,2,Excelente,,1, Noroccidente,3,3,285000000.0
6094,9 a 15 años,76,3,Excelente,3º,1, Occidente,3,3,285000000.0
6107,9 a 15 años,140,4,Remodelar,4º,2, Sur,2,6,285000000.0
6116,9 a 15 años,71,2,Excelente,3º,1, Occidente,4,3,285000000.0
6117,9 a 15 años,144,2,,,2, Sur,2,5,285000000.0
6146,16 a 30 años,64,2,Bueno,3º,1, Occidente,4,3,289000000.0
6147,1 a 8 años,216,5,Excelente,,1, Sur,2,9,289900000.0
6151,16 a 30 años,100,3,Bueno,3º,1, Centro,3,5,289900000.0
6155,9 a 15 años,104,3,Excelente,,1, Norte,4,4,290000000.0
6161,16 a 30 años,312,5,Bueno,3º,1, Sur,2,8,290000000.0
6162,Más de 30 años,160,3,Bueno,3º,, Noroccidente,3,7,290000000.0
6163,16 a 30 años,72,4,Excelente,3º,, Occidente,2,8,290000000.0
6170,9 a 15 años,7,3,,,1, Sur,2,9,290000000.0
6172,16 a 30 años,81,2,Excelente,2º,1, Noroccidente,3,3,290000000.0
6188,16 a 30 años,90,2,Excelente,,1, Occidente,3,4,290000000.0
6190,1 a 8 años,110,3,Excelente,2º,1, Occidente,3,3,290000000.0
6198,16 a 30 años,109,2,Excelente,3º,, Occidente,3,4,290000000.0
6200,16 a 30 años,75,2,Bueno,,1, Sur,3,4,290000000.0
6210,16 a 30 años,200,4,Bueno,,1, Occidente,3,8,290000000.0
6216,9 a 15 años,85,3,Bueno,,1, Norte,4,3,290000000.0
6218,16 a 30 años,216,3,Excelente,4º,, Noroccidente,3,5,290000000.0
6220,9 a 15 años,131,3,Bueno,3º,1, Sur,3,4,290000000.0
6224,16 a 30 años,54,4,,,, Sur,2,16,290000000.0
6226,16 a 30 años,91,2,Bueno,3º,1, Noroccidente,3,3,290000000.0
6230,9 a 15 años,160,2,Excelente,2º,1, Centro,4,4,290000000.0
6241,9 a 15 años,252,4,Excelente,,1, Sur,2,10,290000000.0
6244,1 a 8 años,108,2,Excelente,3º,1, Sur,3,4,290000000.0
6251,9 a 15 años,104,3,Excelente,,1, Norte,4,4,290000000.0
6254,1 a 8 años,74,3,Bueno,3º,1, Occidente,3,3,290000000.0
6257,1 a 8 años,108,2,Excelente,3º,1, Sur,3,4,290000000.0
6264,1 a 8 años,86,3,Excelente,3º,1, Occidente,3,3,290000000.0
6265,Más de 30 años,120,2,Bueno,,1, Occidente,3,6,290000000.0
6267,9 a 15 años,104,3,Excelente,,1, Norte,4,4,290000000.0
6268,Más de 30 años,96,5,Excelente,3º,1, Sur,3,6,290000000.0
6269,9 a 15 años,200,2,Bueno,3º,, Sur,2,7,290000000.0
6271,Más de 30 años,200,1,,,1, Chapinero,3,2,290000000.0
6274,1 a 8 años,86,3,Excelente,3º,1, Occidente,3,3,290000000.0
6276,1 a 8 años,1234,4,,,1, Sur,2,8,290000000.0
6281,16 a 30 años,213,3,Excelente,3º,, Occidente,3,6,290000000.0
6284,16 a 30 años,180,4,Bueno,3º,1, Sur,3,10,290000000.0
6285,9 a 15 años,200,2,Bueno,3º,, Sur,2,7,290000000.0
6286,9 a 15 años,200,2,Bueno,3º,, Sur,2,7,290000000.0
6294,9 a 15 años,97,2,Bueno,,1, Noroccidente,3,3,290000000.0
6295,1 a 8 años,1234,4,,,1, Sur,2,8,290000000.0
6307,Más de 30 años,120,2,Remodelar,,, Occidente,3,5,292000000.0
6315,Más de 30 años,145,3,Bueno,,, Sur,3,5,295000000.0
6319,16 a 30 años,72,2,Excelente,2º,, Occidente,3,3,295000000.0
6328,16 a 30 años,180,2,Bueno,2º,2, Sur,3,5,295000000.0
6332,9 a 15 años,105,3,Bueno,3º,, Sur,3,4,295000000.0
6340,9 a 15 años,77,2,Bueno,3º,1, Noroccidente,3,3,295000000.0
6343,9 a 15 años,71,2,Excelente,3º,1, Occidente,4,4,295000000.0
6347,9 a 15 años,71,2,Remodelar,3º,1, Occidente,4,3,295000000.0
6351,9 a 15 años,71,2,Remodelar,3º,1, Occidente,4,3,295000000.0
6360,9 a 15 años,59,2,Bueno,3º,1, Occidente,3,3,295000000.0
6365,16 a 30 años,14,4,Bueno,3º,1, Occidente,3,3,295000000.0
6366,16 a 30 años,80,3,,,1, Noroccidente,3,4,295000000.0
6367,9 a 15 años,71,2,Remodelar,3º,1, Occidente,4,3,295000000.0
6369,16 a 30 años,170,2,Bueno,2º,1, Noroccidente,3,3,295000000.0
6379,16 a 30 años,95,3,,,1, Noroccidente,3,4,295000000.0
6380,Más de 30 años,145,3,Bueno,,, Sur,3,5,295000000.0
6382,9 a 15 años,220,5,Bueno,,1, Sur,1,11,295000000.0
6387,16 a 30 años,92,2,Bueno,2º,2, Occidente,3,3,295000000.0
6388,16 a 30 años,72,2,Excelente,2º,, Occidente,3,3,295000000.0
6389,9 a 15 años,86,2,Bueno,3º,1, Noroccidente,3,2,295000000.0
6391,Más de 30 años,145,3,Bueno,,, Sur,3,5,295000000.0
6395,16 a 30 años,80,2,Bueno,1º,1, Noroccidente,3,3,295000000.0
6398,16 a 30 años,72,2,Excelente,2º,, Occidente,3,3,295000000.0
6412,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6420,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6424,Más de 30 años,120,3,Bueno,3º,, Norte,3,4,298000000.0
6425,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6439,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6441,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6445,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6446,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6447,9 a 15 años,320,6,,,, Noroccidente,2,9,298000000.0
6448,16 a 30 años,212,3,Bueno,Otros,, Sur,2,9,298000000.0
6453,9 a 15 años,71,2,Excelente,3º,1, Noroccidente,4,3,298000000.0
6459,16 a 30 años,100,3,Bueno,1º,1, Noroccidente,3,3,299000000.0
6466,16 a 30 años,120,2,Bueno,2º,1, Sur,3,3,299000000.0
6468,9 a 15 años,74,3,Bueno,,2, Noroccidente,4,3,299000000.0
6475,16 a 30 años,97,3,Bueno,,1, Noroccidente,3,3,299500000.0
6476,16 a 30 años,216,6,Excelente,,1, Occidente,2,9,299900000.0
6477,9 a 15 años,224,2,Bueno,,1, Sur,2,8,299900000.0
6479,16 a 30 años,230,4,Bueno,2º,1, Sur,2,4,299900000.0
6480,16 a 30 años,125,0,Excelente,,1, Occidente,2,4,299900000.0
6482,16 a 30 años,100,2,,3º,1, Occidente,3,4,300000000.0
6487,1 a 8 años,210,5,Excelente,4º,1, Noroccidente,2,11,300000000.0
6489,9 a 15 años,85,3,Bueno,2º,, Sur,1,4,300000000.0
6490,9 a 15 años,240,4,,,1, Sur,2,10,300000000.0
6491,1 a 8 años,121,3,,,1, Occidente,3,3,300000000.0
6501,1 a 8 años,111,2,Excelente,,1, Occidente,3,3,300000000.0
6504,16 a 30 años,127,3,Excelente,3º,1, Noroccidente,3,3,300000000.0
6513,16 a 30 años,165,3,Bueno,,, Sur,3,8,300000000.0
6515,9 a 15 años,220,2,Bueno,3º,, Sur,3,4,300000000.0
6517,16 a 30 años,210,2,Excelente,3º,1, Sur,2,6,300000000.0
6518,16 a 30 años,220,3,,,1, Sur,3,8,300000000.0
6526,16 a 30 años,110,2,,,1, Sur,3,3,300000000.0
6532,Más de 30 años,115,4,Excelente,3º,1, Occidente,3,5,300000000.0
6535,1 a 8 años,102,2,,,1, Occidente,3,3,300000000.0
6538,Menos de 1 año,130,3,,2º,1, Occidente,3,3,300000000.0
6543,9 a 15 años,72,3,Excelente,3º,1, Noroccidente,4,3,300000000.0
6546,16 a 30 años,72,2,Excelente,3º,1, Noroccidente,3,4,300000000.0
6548,9 a 15 años,7,3,,,, Occidente,3,6,300000000.0
6550,1 a 8 años,216,3,,,1, Sur,1,9,300000000.0
6553,16 a 30 años,200,3,,3º,1, Sur,3,9,300000000.0
6557,16 a 30 años,165,3,Bueno,3º,, Sur,3,8,300000000.0
6566,9 a 15 años,180,4,Bueno,,, Sur,2,8,300000000.0
6569,16 a 30 años,150,3,Excelente,3º,1, Occidente,3,3,300000000.0
6572,9 a 15 años,210,3,Bueno,3º,, Sur,3,8,300000000.0
6589,16 a 30 años,72,3,Excelente,3º,1, Occidente,2,4,300000000.0
6594,16 a 30 años,110,2,,,1, Sur,3,3,300000000.0
6595,9 a 15 años,92,3,,,1, Sur,3,3,300000000.0
6607,1 a 8 años,80,3,,,1, Occidente,3,3,300000000.0
6609,16 a 30 años,200,3,,,1, Sur,3,6,300000000.0
6621,16 a 30 años,97,2,Excelente,3º,1, Noroccidente,3,3,300000000.0
6622,16 a 30 años,95,2,Bueno,,1, Occidente,3,3,300000000.0
6623,Más de 30 años,120,1,Remodelar,1º,, Sur,3,4,300000000.0
6625,9 a 15 años,78,2,Bueno,2º,1, Occidente,3,6,300000000.0
6633,9 a 15 años,150,2,Bueno,2º,1, Noroccidente,3,5,300000000.0
6636,16 a 30 años,198,3,Excelente,3º,1, Noroccidente,2,5,300000000.0
6638,9 a 15 años,150,2,Bueno,2º,1, Noroccidente,3,5,300000000.0
6642,16 a 30 años,89,2,Excelente,3º,1, Norte,3,3,300000000.0
6646,9 a 15 años,10,6,Bueno,3º,1, Sur,2,6,300000000.0
6650,Más de 30 años,120,1,Remodelar,1º,, Sur,3,4,300000000.0
6657,16 a 30 años,134,3,Bueno,3º,1, Occidente,3,4,300000000.0
6658,16 a 30 años,200,3,,,1, Sur,3,6,300000000.0
6659,Más de 30 años,419,4,Bueno,,, Sur,2,11,300000000.0
6661,Más de 30 años,275,3,Remodelar,3º,1, Sur,2,6,300000000.0
6664,16 a 30 años,100,2,Excelente,3º,1, Noroccidente,3,3,300000000.0
6666,16 a 30 años,273,3,Excelente,2º,1, Occidente,3,4,300000000.0
6668,1 a 8 años,90,3,Excelente,,1, Occidente,3,3,300000000.0
6672,16 a 30 años,203,3,Bueno,2º,2, Sur,2,6,300000000.0
6677,16 a 30 años,402,4,Bueno,4º,1, Sur,2,6,302000000.0
6678,16 a 30 años,402,4,Bueno,4º,1, Sur,2,6,302000000.0
6682,1 a 8 años,300,3,Excelente,3º,1, Sur,2,9,305000000.0
6693,16 a 30 años,94,2,,,, Occidente,3,4,305000000.0
6701,16 a 30 años,117,2,Bueno,,1, Noroccidente,3,3,305000000.0
6703,Más de 30 años,267,5,Excelente,4º,, Occidente,3,9,305000000.0
6710,16 a 30 años,100,3,Bueno,,1, Sur,4,4,305000000.0
6716,Más de 30 años,164,1,Bueno,2º,1, Occidente,3,3,305259827.0
6744,Más de 30 años,137,1,Remodelar,1º,1, Occidente,3,5,310000000.0
6749,9 a 15 años,305,3,Bueno,1º,1, Sur,2,8,310000000.0
